CanonicalJoint,OpenUSD,BVH,ASF/AMC,VRM,HAnim,SMPL,SMPL-X,Mixamo,UEMannequin,UnityMecanim,Godot,SecondLife,Roblox,Momentum
Root (Parent of e.g. Hips),-,-,-,root,humanoid_root ,-,-,-,-,-,Root,-,Root/HumanoidRootNode,root
Hips,Hips,Hips,pelvis,hips,sacroiliac,pelvis,pelvis,Hips,Root (Pelvis),Hips,Hips,mPelvis/PELVIS,LowerTorso,c_spine0
Spine,Torso,Spine,lowerback,spine,vl5,spine1,spine1,Spine,Spine_01,Spine,Spine,mTorso/BELLY,-,c_spine1
Spine1/2/etc,-,-,-,-,"vl3, vl1, vt10, vt6, vt1",-,-,-,-,-,-,mSpine1/2/3/4,-,c_spine1/c_spine2
Chest,Chest,Spine1 / Spine2,upperback / thorax,chest,vc7,spine2,spine2,Spine1 / Spine2,Spine_02 / Spine_03,Chest,Chest,mChest/CHEST,UpperTorso,c_spine3
Chest1/2/etc,UpChest,-,-,upperChest,"l_, r_sternoclavicular",-,-,-,-,UpperChest (opt),UpperChest,-,-,-
Neck,Neck,Neck,lowerneck,neck,"vc4, vc2",neck,neck,Neck,Neck_01,Neck,Neck,mNeck/NECK,-,c_neck
Head,Head,Head,head,head,skullbase,head,head,Head,Head,Head,Head,mHead/HEAD,Head/DynamicHead (Opt),c_head
Head1,-,-,-,-,-,-,-,-,-,-,-,mSkull,-,-
Jaw,-,EndSite,opt,jaw,temperomandibular,opt,jaw,opt,opt,Jaw,Jaw,mFaceJaw,-,c_jaw
LeftEye,LEye,EndSite,eye_l,leftEye,l_eyeball,-,LEye,opt,Eye_L,LeftEye,LeftEye,mEyeLeft,-,l_eye
Left / Right Eyelids,L / R controls x 12,-,-,-,"l_eyelid, r_eyelid",-,-,-,-,-,-,mFaceEyeLid*,-,-
LeftEyeTwist,-,-,-,-,l_eyeball,-,LEyeTwist,-,Eye_L_Twist,-,-,-,-,-
RightEye,REye,EndSite,eye_r,rightEye,r_eyeball,-,REye,opt,Eye_R,RightEye,RightEye,mEyeRight,-,r_eye
RightEyeTwist,-,-,-,-,r_eyeball,-,REyeTwist,-,Eye_R_Twist,-,-,-,-,-
Nose,Nose,-,-,-,"(future, FACS)",-,Nose,opt,opt,-,-,mFaceNose*,-,-
Chin,Chin / LChin / RChin,-,-,-,"(future, FACS)",-,Chin,opt,opt,-,-,mFaceChin,-,-
Left / Right Ear,LEar / REar,-,-,-,"(future, FACS)",-,-,-,-,-,-,mFaceEar*,-,-
LeftCheek,LCheek,-,-,-,"(future, FACS)",-,LCheek,opt,opt,-,-,mFaceCheek(Upper/Lower)Left,-,-
RightCheek,RCheek,-,-,-,"(future, FACS)",-,RCheek,opt,opt,-,-,mFaceCheek(Upper/Lower)Right,-,-
Mouth,Mouth,-,-,-,"(future, FACS)",-,Mouth,opt,opt,-,-,-,-,-
UpperLip,UpLip / LUpLip / RUpLip,-,-,-,"(future, FACS)",-,UpLip,opt,opt,-,-,mFaceLipUpper*,-,-
